Afghanistan;2011;425.835;;19.045.599;;;;
Albania;2011;5.133.704;;11.052.794;;;;
Algeria;2011;5.367.827;;11.078.229;;;;
Angola;2011;417.838;;76.754.463;;;;
Argentina;2011;6.242.357;;24.647.629;;;;
Armenia;2011;4.473.529;;9.725.278;;;;
Australia;2011;7.344.625;;45389.17;;;;
Austria;2011;7.227.316;;53179.15;;;;
Azerbaijan;2011;4.581.938;;13.913.837;;;;
Bahrain;2011;5.567.952;;44157.48;;;;
Bangladesh;2011;4.807.098;;30.349.512;;;;
Belarus;2011;5.566.307;;18.274.021;;;;
Belgium;2011;7.113.178;;48154.87;;;;
Belize;2011;6.450.644;;7.259.645;;;;
Benin;2011;3.492.997;;27.078.696;;;;
Bolivia;2011;5.633.493;;6.844.984;;;;
Bosnia and Herzegovina;2011;4.857.435;;11.176.881;;;;
Botswana;2011;4.580.534;;13.724.671;;;;
Brazil;2011;6.697.499;;15.323.331;;;;
Bulgaria;2011;3.889.474;;18661.48;;;;
Burkina Faso;2011;3.926.028;;17.757.792;;;;
Burundi;2011;367.756;;8.525.026;;;;
Cambodia;2011;4.100.715;;2.862.908;;;;
Cameroon;2011;4.375.735;;32.423.545;;;;
Canada;2011;7.499.089;;45.822.598;;;;
Central African Republic;2011;3.567.892;;12.427.148;;;;
Chad;2011;3.919.401;;16.767.694;;;;
Chile;2011;612.797;;22.337.861;;;;
China;2011;4.679.718;;9.680.098;;;;
Colombia;2011;6.202.322;;12.480.547;;;;
Comoros;2011;3.700.023;;29.246.855;;;;
Congo;2011;3.819.792;;5.137.612;;;;
Costa Rica;2011;7.251.115;;17.360.201;;;;
Cote d'Ivoire;2011;4.197.182;;34.910.212;;;;
Croatia;2011;5.622.628;;24.563.848;;;;
Cyprus;2011;6.416.459;;37.481.812;;;;
Czechia;2011;635.963;;34002.19;;;;
Democratic Republic of Congo;2011;3.983.849;;89.482.654;;;;
Denmark;2011;785.574;;51.293.207;;;;
Dominican Republic;2011;5.036.006;;13.024.328;;;;
